TIDM,Name,Industry,Subsector,Price,Graham number / Close,1y ago Graham number / Close  1y ago,EV / EBIT,1y ago EV / EBIT,EV / EBIT 5y av.,fc PE,PE,1y ago PE,PE 5y av.,PE 10y av.,PEG,1y ago PEG,Price to NAV,1y ago price to NAV,Yield,Dividend Cover,Broker consensus,Previous consensus,EBIT (m),Dir holdings 3m change %,City holdings 3m change %,Net debt to EBITDA,% Total Return 1y,EV / Free cash flow,Beta 1y daily (vs. UKX) TTM,
API,Abrdn Property Income Trust Ltd,Real Estate,Diversified REITs,£0.4805,1.5141,1.5159,,,,,16.8,22.0,18.3,18.1,,,0.6,0.8,8.2,0.7,,,0.0,0.0000,-2.9126,,-13.8,18.3,0.70,
AUSC,Abrdn UK Smaller Companies Growth Trust PLC,Financials,Closed End Investments,£4.0775,,,,,,,,,,,,,0.8,0.9,2.7,,,,0.0,0.0603,3.6496,,1.5,44.5,0.81,
AC8,Acceler8 Ventures PLC,Financials,Open End and Miscellaneous Investment Vehicles,£1.60,,0,,,,,,,,,,,7.1,,,,,,-0.2,0.0000,0.0000,,-41.8,-5.1,0.15,
ACC,Access Intelligence PLC,Technology,Computer Services,£0.59,,,,,,65.6,,,,,,,1.2,3.1,,,Buy,Buy,-6.0,0.0000,0.0000,-1.0,-40.4,-8.4,-0.05,
ACSO,Accesso Technology Group PLC,Technology,Software,£6.78,0.88302,1.3846,20.6,29.2,,29.1,23.1,18.8,,,,,1.8,2.5,,,Buy,Buy,13.2,0.0193,7.6855,-2.5,24.6,30.4,0.53,
ACRL,Accrol Group Holdings PLC,Consumer Staples,Nondurable Household Products,£0.2955,1.0631,0.57894,,,,10.0,16.4,75.3,,,0.3,0.2,1.2,0.9,,,Buy,Buy,-3.6,0.0582,2.6398,8.0,28.8,517.1,0.18,
AXS,Accsys Technologies PLC,Industrials,Building Materials - Other,£0.725,0.99502,0.51112,15.9,94.0,82.5,179.8,21.0,172.1,,,,0.6,1.5,2.4,,,Outperform,Outperform,14.4,-0.0290,-19.3952,1.9,9.19,-13.6,0.83,
ACG,ACG Acquisition Company Ltd,Financials,Open End and Miscellaneous Investment Vehicles,$10.75,,,,,,,,,,,,,38.3,,,,,,-2.7,0.0000,0.0000,,,-96.1,,
ACPE,ACP Energy PLC,Financials,Diversified Financial Services,£0.065,,,,,,,,,,,,,,,,,,,-0.3,0.0000,0.0000,,0,-16.4,-0.00,
AEG,Active Energy Group PLC,Energy,Alternative Fuels,£0.047,1.7289,,15.3,,,,19.0,,,,,,0.6,0.7,,,No Opinion,No Opinion,0.4,0.0000,0.0000,-5.3,-19.7,-2.1,-0.25,
AOM,ActiveOps PLC,Technology,Software,£0.89,,,,,,159.6,,,,,,,8.3,7.9,,,Buy,Buy,-0.2,0.0006,-0.8288,-21.3,17.1,25.7,-0.00,
ACT,Actual Experience PLC,Technology,Software,£0.00575,,,,,,,,,,,,,0.10,5.3,,,,,-5.5,0.8195,0.0000,,-72,,0.35,
ACRM,Acuity RM Group PLC,Financials,Closed End Investments,£0.0525,,,,,,,,,,,,,1.8,1.6,,,,,0.0,-7.5384,0.0000,,-38.2,-18.5,-0.47,
ZAIM,Adalan Ventures PLC,Financials,Consumer Lending,£0.06,2.053,,,,,,4.0,,,,,,1.2,21.8,,,No Opinion,No Opinion,0.0,0.0000,0.0000,,-60,-5.0,-0.45,
ADA,Adams PLC,Real Estate,Real Estate Holding and Development,£0.03,,,,,,,,,,,,,0.9,1.6,,,,,0.0,0.8546,0.0000,,-50,-26.6,0.15,
0REZ,AddLife AB,Health Care,Medical Supplies,kr63.4128,0.94501,0.58889,18.3,51.4,35.7,,16.1,63.7,41.7,,,,1.6,10.9,,,,,711.0,,,3.6,-46.1,20.9,1.30,
ZT67,Adib Capital Invest 3 LTD ADD TIER 1 CAPITAL CERTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADME,ADM Energy PLC,Energy,Oil - Crude Producers,£0.005,,,,,,,,,,,,,0.1,0.1,,,Buy,Buy,-1.4,0.0000,0.0000,,-31,-2.3,0.86,
ADMR,Admiral Acquisition Ltd,Financials,Diversified Financial Services,$9.275,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,,,,,
ADMW,Admiral Acquisition Ltd,Financials,Diversified Financial Services,$0.275,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM,Admiral Group PLC,Financials,Property and Casualty Insurance,£23.72,0.39519,0.77804,16.5,13.6,14.1,20.6,19.1,14.9,16.5,16.4,,,7.6,6.7,3.4,1.5,Hold,Hold,482.4,0.0064,0.0000,,28.5,24.0,0.86,
ADT1,Adriatic Metals PLC,Basic Materials,General Mining,£1.852,,,,,,,,,,,,,5.5,3.1,,,Buy,Buy,-17.5,0.0000,6.9690,,56.9,-8.5,0.62,
AMS,Advanced Medical Solutions Group PLC,Health Care,Medical Supplies,£1.961,0.81425,0.59274,13.9,29.3,25.2,21.2,18.7,34.8,30.9,28.2,,4.2,1.8,3.4,1.1,4.9,Outperform,Outperform,25.4,0.0190,4.9114,-2.1,-19.1,22.3,1.00,
AVO,Advanced Oncotherapy PLC,Health Care,Medical Equipment,£0.01925,,,,,,,,,,,,,0.1,2.7,,,No Opinion,No Opinion,-24.4,0.0000,0.0000,,-92,-1.4,-0.10,
ADVT,AdvancedAdvT Ltd,Financials,Open End and Miscellaneous Investment Vehicles,£0.82,0.5563,,,,,,94.7,,,,,,1.0,1.0,,,,,-2.0,0.0000,0.0000,,18,40.8,0.05,
AFN,ADVFN PLC,Financials,Financial Data Providers,£0.145,0.21627,0.66326,140.4,11.1,,,145.0,12.6,,,,,3.3,6.3,4.5,0.2,,,0.04,0.0000,0.0000,-1.6,-71.8,-12.8,0.34,
AEO,Aeorema Communications PLC,Consumer Discretionary,Entertainment,£0.85,0.60815,,8.6,,,,14.7,,,,,,3.5,1.8,2.4,2.9,No Opinion,No Opinion,0.9,0.0000,-3.5700,-0.7,18.4,10.0,0.07,
AEWU,AEW UK REIT PLC,Real Estate,Diversified REITs,£0.9995,1.1832,1.523,,,,11.8,17.2,17.6,13.5,,0.4,,0.9,1.0,8.1,0.7,Buy,Buy,0.0,0.0000,0.0000,,21,24.5,0.39,
AFRK,Afarak Group PLC,Basic Materials,General Mining,£0.2,6.5655,,2.0,32.3,,,1.3,,,,,,0.6,1.3,,,No Opinion,No Opinion,51.5,-0.8846,0.0000,-0.2,0,3.5,0.00,
AFC,AFC Energy PLC,Energy,Alternative Fuels,£0.1629,,,,,,,,,,,,,2.5,7.4,,,Buy,Outperform,-19.4,0.0071,0.0000,,-11.8,-4.9,1.15,
AET,Afentra PLC,Energy,Oil - Crude Producers,£0.28025,,,,,,6.4,,,,,,,1.5,0.7,,,Buy,Buy,-9.1,0.0000,9.9019,,18.8,-7.6,0.81,
AFRN,Aferian PLC,Telecommunications,Telecommunications Equipment,£0.1775,6.5019,1.3645,,31.7,,,3.3,18.9,12.2,12.9,,,0.2,1.7,5.6,5.4,Buy,Buy,-16.2,-11.4485,15.7606,-0.1,-86.5,-4.0,1.03,
AOF,Africa Opportunity Fund Ltd,Financials,Closed End Investments,$0.555,,4.601,,,,,,1.7,,,,,0.6,0.7,,,,,0.0,0.0000,0.0000,,-20.1,1.4,0.00,
AFP,African Pioneer PLC,Basic Materials,General Mining,£0.0215,,1.7936,,9.6,,,,10.8,,,,,0.9,0.8,,,,,-0.6,-0.6456,6.8214,,0,-4.9,1.30,
AGTA,Agriterra Ltd,Consumer Staples,"Farming, Fishing, Ranching and Plantations",£0.012,,,,,,,,,,,,,0.03,0.1,,,,,-0.8,0.0000,0.0000,111.6,-76,-3.7,-1.08,
ANIC,Agronomics Ltd,Health Care,Biotechnology,£0.1025,0.82091,,,,,,51.2,,,,,,0.7,1.9,,,Buy,Buy,-11.3,0.0000,0.0000,,-12.4,-1.7,0.08,
AIBG,AIB Group PLC,Financials,Banks,£3.62,1.6958,2.8445,,,,,11.5,6.3,,,,0.9,0.9,0.4,1.5,5.9,,,0.0,0.0000,3.9539,,68.9,-17.2,1.12,
AIQ,AIQ Ltd,Financials,Open End and Miscellaneous Investment Vehicles,£0.075,,,,,,,,,,,,,89.9,14.2,,,,,-0.5,0.0000,0.0000,,-50,-11.3,-0.31,
AIRC,Air China Ltd,Consumer Discretionary,Airlines,£0.54423,,,,,,,,,,,,,2.9,1.1,,,,,-39427.9,,,,0,-12.9,0.00,
AIEA,Airea PLC,Consumer Discretionary,Household Furnishings,£0.275,2.0145,1.8399,6.1,6.9,49.2,,8.6,12.2,15.0,12.1,,0.3,0.7,0.7,1.8,6.4,,,1.6,0.0000,0.8028,-1.3,9.8,9.4,0.15,
AAF,Airtel Africa PLC,Telecommunications,Telecommunications Services,£1.2315,1.3499,1.364,5.4,6.6,6.4,13.5,11.1,11.5,,,,,1.6,2.0,3.6,2.5,Outperform,Outperform,1757.0,0.1064,0.0000,1.4,-3,46.4,1.16,
AJB,AJ Bell PLC,Financials,Investment Services,£2.764,0.32908,0.31869,18.0,27.9,31.2,17.7,24.4,37.3,,,0.6,6.7,8.5,12.5,2.7,1.5,Outperform,Outperform,59.2,-21.6444,0.0000,-1.1,3.6,26.6,1.31,
AJAX,Ajax Resources PLC,Financials,Diversified Financial Services,£0.0575,,,,,,,,,,,,,2.5,,,,,,-0.8,0.1405,11.6090,,35.3,-6.2,0.32,
ALBA,Alba Mineral Resources PLC,Basic Materials,General Mining,£0.0009,0,0,,,,,,,,,,,0.7,0.9,,,,,-1.6,0.0000,0.0000,,-40,-2.2,0.07,
AADV,Albion Development VCT PLC,Financials,Closed End Investments,£0.85,,2.218,,,,,,5.1,,,,,1.0,0.9,5.5,,,,0.0,0.0000,0.0000,,2.89,-26.6,0.02,
AAEV,Albion Enterprise VCT PLC,Financials,Closed End Investments,£1.185,0.82678,2.4161,,,,,39.5,5.1,,,,,0.9,0.9,5.5,0.5,,,0.0,-0.1155,0.0000,,3.65,-22.3,-0.01,
AATG,Albion Technology & General VCT PLC,Financials,Closed End Investments,£0.725,,2.2293,,,,,,5.0,,,,,1.0,0.9,5.5,,,,0.0,0.0000,0.0000,,1.05,-58.9,-0.01,
AAVC,Albion Venture Capital Trust PLC,Financials,Closed End Investments,£0.468,0.24261,1.8307,,,,,468.0,8.4,,,,,0.9,0.9,5.7,0.04,,,0.0,-0.0254,0.0000,,0.591,-125.4,-0.01,
ALFA,Alfa Financial Software Holdings PLC,Technology,Software,£1.865,0.26496,0.27593,18.7,22.9,18.8,25.6,23.5,29.6,25.3,,,1.1,13.4,13.1,0.6,6.7,Buy,Buy,29.5,0.0000,-0.5491,-0.3,17.1,23.7,0.57,
UFO,Alien Metals Ltd,Basic Materials,Platinum and Precious Metals,£0.0018,,,,,,,,,,,,,0.6,2.9,,,No Opinion,No Opinion,-2.4,-0.1885,-6.7214,,-65.4,-1.9,0.69,
ALNA,Alina Holdings PLC,Real Estate,Retail REITs,£0.0925,,,,,,,,,,,,,0.4,0.7,,,,,0.0,0.0000,0.0000,,-47.1,-17.7,-0.15,
ALK,Alkemy Capital Investments PLC,Financials,Open End and Miscellaneous Investment Vehicles,£1.35,0.78931,,,,,,,,,,,,-11.8,9.7,,,,,-2.6,0.0992,0.0000,,31.7,-4.2,0.40,
0ABJ,Alleima AB,Basic Materials,Iron and Steel,kr54.8737,,,,,,,,,,,,,,,,,,,,,,,48.3,,0.95,
AGY,Allergy Therapeutics PLC,Health Care,Pharmaceuticals,£0.0155,,0.4343,,33.6,,,,62.5,,,,,0.5,3.4,,,No Opinion,No Opinion,-12.0,0.0000,0.0000,-1.3,-91.6,-0.6,0.16,
0RUM,Allgeier SE,Technology,Computer Services,€20.15,0.91,0.56244,12.2,36.4,19.9,,9.5,31.0,18.3,,,1.7,1.7,5.5,2.5,4.2,,,32.2,,,1.7,-24.2,28.9,0.46,
APH,Alliance Pharma PLC,Health Care,Pharmaceuticals,£0.47575,1.4802,1.4764,10.2,14.7,13.9,10.6,11.4,17.3,15.6,13.8,1.7,,0.9,2.1,3.7,2.4,Buy,Buy,35.7,0.0268,5.3653,2.7,-15.2,24.9,0.61,
ATST,Alliance Trust PLC,Financials,Closed End Investments,£10.25,,2.145,,,,,,6.0,,,,,1.0,0.9,2.3,,,,0.0,0.0000,0.0000,,10.8,54.7,0.94,
ATT,Allianz Technology Trust PLC,Financials,Closed End Investments,£2.5725,,2.9477,,,,,,6.3,,,,,1.1,1.0,,,,,0.0,0.0001,0.0000,,14.8,,0.86,
AFM,Alpha Financial Markets Consulting PLC,Industrials,Professional Business Support Services,£3.60,0.76492,0.55965,14.5,21.5,18.2,13.6,13.1,16.2,15.3,,,0.5,2.9,2.9,3.9,1.9,Buy,Buy,26.6,-0.7365,5.8112,-1.2,-7.6,13.8,0.21,
ALPH,Alpha Group International PLC,Financials,Investment Services,£19.70,0.35484,0.31354,15.1,23.6,22.1,27.0,28.7,39.2,35.5,,4.6,1.8,5.9,8.5,0.7,4.7,Buy,Buy,47.7,0.0000,-4.5285,-2.4,14.1,23.7,0.31,
ALGW,Alpha Growth PLC,Financials,Asset Managers and Custodians,£0.0145,0.91984,,,,,9.7,14.5,,,,0.3,,1.0,,,,No Opinion,No Opinion,-0.8,0.0000,-3.0740,,-49.1,-14.7,0.01,
ARTL,Alpha Real Trust Ltd,Real Estate,Real Estate Holding and Development,£1.265,1.514,0.98148,,,,,16.5,37.8,32.9,,,0.4,0.6,0.7,3.1,1.9,,,0.0,0.0761,0.0000,,-7.72,-27.5,-0.03,
AWE,Alphawave IP Group PLC,Technology,Semiconductors,£1.132,3.2694,5.2039,28.1,38.5,33.3,20.0,1.5,0.9,,,,,2.1,3.4,,,Outperform,Outperform,37.8,0.0000,0.0000,0.8,-19.1,-35.4,1.17,
ALTE,Alteration Earth PLC,Financials,Diversified Financial Services,£0.125,0,,,,,,,,,,,,,,,,,,-0.1,0.0000,0.0000,,25,-28.5,0.06,
AIRE,Alternative Income REIT PLC,Real Estate,Diversified REITs,£0.60,1.9482,1.5569,,,,,9.5,12.7,17.2,,,1.0,0.6,0.8,9.2,1.1,,,0.0,0.0000,0.0000,,-0.982,17.7,0.24,
ALF,Alternative Liquidity Fund Ltd,Financials,Asset Managers and Custodians,$0.04,,6.7337,,,,,,2.7,,,,,0.3,0.4,,,,,0.0,0.0000,0.0000,,-13,1.8,-0.22,
ALT,Altitude Group PLC,Technology,Computer Services,£0.45,0.48527,0.46269,99.3,161.2,,26.8,28.1,69.0,,,5.6,0.3,3.4,3.0,,,No Opinion,No Opinion,0.3,-3.4392,0.0000,-0.4,83.7,142.1,0.34,
REE,Altona Rare Earths PLC,Basic Materials,General Mining,£0.03625,,,,,,,,,,,,,,,,,,,-0.8,-0.0064,0.0000,,-53.2,-1.7,-1.13,
ALTN,Altyn PLC,Basic Materials,Gold Mining,£0.9475,5.0571,7.0185,3.4,3.0,,,2.5,2.2,,,,,0.5,0.8,,,No Opinion,No Opinion,16.6,0.0000,0.0000,1.0,18.6,84.7,0.03,
ALU,Alumasc Group PLC,Industrials,Building Materials - Other,£1.60,1.2051,1.4654,5.6,5.1,9.2,6.8,6.7,5.6,8.1,8.4,,,2.3,2.2,6.2,2.4,Buy,Buy,12.0,0.0831,-0.7057,0.5,22.5,9.2,0.37,
DISH,Amala Foods PLC,Technology,Software,£0.00095,7.1,1.9409,,,,,,,,,,,-0.4,-3.2,,,,,-0.3,0.0000,0.0000,,-77.6,-14.5,0.12,
AMRQ,Amaroq Minerals Ltd,Basic Materials,Gold Mining,£0.575,,,,,,23.3,,,,,,,3.9,,,,Buy,Buy,-22.6,0.0000,0.3539,,66.7,-9.8,-0.05,
AMAT,Amati AIM VCT PLC,Financials,Closed End Investments,£0.965,,,,,,,,,,,,,0.7,0.9,7.3,,,,0.0,0.0014,0.0000,,-20.1,-26.9,0.18,
AA4,Amedeo Air Four Plus Ltd,Industrials,Transportation Services,£0.465,4.2041,3.0705,14.7,28.8,,9.5,2.7,5.0,,,,0.03,0.4,0.3,11.8,3.1,Buy,Buy,71.7,6.8630,1.8243,,58.2,7.1,-0.02,
AMGO,Amigo Holdings PLC,Financials,Consumer Lending,£0.0045,,6.264,,,,,,1.9,,,,,0.2,0.5,,,No Opinion,No Opinion,-41.3,0.0000,-2.1327,,-88.8,,1.80,
AEX,Aminex PLC,Energy,Oil - Crude Producers,£0.01025,,,,,,,,,,,,,1.6,0.9,,,Buy,Buy,-3.4,0.0000,0.0000,,2.5,-19.5,-0.19,
AMTE,Amte Power PLC,Industrials,Electrical Components,£0.017,,,,,,,,,,,,,0.08,6.2,,,No Opinion,No Opinion,-5.7,-0.0139,-32.2651,,-97.5,-0.5,0.02,
AMC,Amur Minerals Corp,Basic Materials,General Mining,£0.0009,,,,,,,,,,,,,0.05,1.1,,,No Opinion,No Opinion,-1.8,0.0000,0.0000,,49.4,,0.10,
ATM,Andrada Mining Ltd,Basic Materials,Nonferrous Metals,£0.0695,,,,114.0,,,,,,,,,3.0,2.9,,,Buy,Buy,-8.3,-0.1833,0.0000,,54.4,-5.6,0.14,
ASY,Andrews Sykes Group PLC,Industrials,Professional Business Support Services,£6.85,0.58355,0.71398,11.7,9.6,12.0,,15.8,13.5,16.2,14.8,,1.4,4.2,3.3,4.0,1.6,,,22.2,-0.7090,0.0000,-0.3,47,11.5,0.08,
AMOI,Anemoi International Ltd,Financials,Diversified Financial Services,£0.008,,,,,,,,,,,,,0.3,1.1,,,No Opinion,No Opinion,-0.8,0.0000,0.0000,,-46.7,,0.20,
ANX,Anexo Group PLC,Industrials,Professional Business Support Services,£0.615,3.4684,1.9022,4.8,8.0,8.3,4.0,3.8,8.2,8.8,,,,0.5,1.2,2.4,11.0,No Opinion,No Opinion,30.4,0.0000,0.0000,1.8,-40.3,-10.0,0.17,
AGL,Angle PLC,Health Care,Biotechnology,£0.145,,,,,,,,,,,,,0.9,6.9,,,Buy,Buy,-22.5,0.0000,0.0000,,-77.3,-0.6,1.04,
AYM,Anglesey Mining PLC,Basic Materials,General Mining,£0.01375,,,,,,,,,,,,,0.3,0.7,,,,,-0.8,1.8641,12.3427,,-49.1,-7.4,-0.20,
ANG,Angling Direct PLC,Consumer Discretionary,Specialty Retailers,£0.365,0.6347,1.7513,27.8,10.7,,41.4,73.0,18.5,,,1.0,,0.8,1.2,,,Buy,Buy,0.9,0.0000,4.0227,-0.6,14.1,-10.3,0.22,
AAL,Anglo American PLC,Basic Materials,General Mining,£22.00,1.9706,1.8683,4.0,3.7,5.8,9.5,5.4,5.9,9.3,9.4,,,1.3,2.0,7.6,2.4,Outperform,Outperform,11963.0,0.0000,0.0000,0.4,-15.6,42.1,1.86,
AAZ,Anglo Asian Mining PLC,Basic Materials,General Mining,£0.615,1.5331,1.5975,7.1,11.1,6.8,72.8,20.6,25.4,14.8,,,,0.7,1.5,12.0,0.4,Buy,Buy,8.5,0.0000,0.0000,-0.7,-7.84,-13.4,0.58,
AEP,Anglo-Eastern Plantations PLC,Consumer Staples,"Farming, Fishing, Ranching and Plantations",£7.33,2.8918,2.6753,1.9,2.1,8.3,,4.0,4.1,12.4,11.4,,,0.8,0.9,2.7,9.2,,,133.6,0.0000,0.0000,-1.5,-3.65,2.8,-0.06,
ANGS,Angus Energy PLC,Energy,Oil - Crude Producers,£0.00675,5.3192,0.63164,,,,,,,,,,,-0.2,-4.3,,,Buy,Buy,-1.4,0.0911,-7.9000,,-65.8,-2.4,-0.24,
ANCR,Animalcare Group PLC,Health Care,Pharmaceuticals,£1.825,1.0474,0.74294,29.0,50.7,39.8,16.0,14.6,28.8,17.9,21.4,,6.9,1.4,2.6,2.4,2.8,Buy,Buy,4.0,0.0000,4.1652,0.4,-26,23.2,0.39,
ANP,Anpario PLC,Health Care,Biotechnology,£2.375,1.1216,0.72238,12.3,22.7,16.4,22.2,14.2,26.8,20.2,21.5,,,1.4,3.6,4.4,1.6,Buy,Buy,3.7,0.0000,-0.6193,-2.2,-41.6,-113.1,0.51,
ANTO,Antofagasta PLC,Basic Materials,Copper,£13.8075,0.63266,1.233,13.0,6.5,11.1,22.7,28.1,12.7,23.9,,1.2,,1.9,2.1,3.5,1.0,Hold,Hold,1708.4,0.0000,0.0000,0.8,29.9,-204.0,1.68,
AO.,AO World PLC,Consumer Discretionary,Specialty Retailers,£0.84275,0.25629,,39.9,,,22.8,76.4,,,,0.3,,4.6,5.7,,,Hold,Hold,14.1,-0.0053,0.0000,1.7,93.5,-175.7,1.21,
APAX,APAX Global Alpha Ltd,Financials,Closed End Investments,£1.643,,4.2769,,,,10.3,,3.9,,,,,0.7,0.9,7.2,,Outperform,Outperform,0.0,0.0000,5.8414,,8.93,22.0,0.56,
APQ,APQ Global Ltd,Financials,Mortgage Finance,£0.04,,,,,,,,,,,,,0.5,0.4,,,No Opinion,No Opinion,0.0,0.0000,0.0000,,-50,-27.0,0.08,
APTA,Aptamer Group PLC,Health Care,Biotechnology,£0.0145,,,,,,,,,,,,,0.1,,,,No Opinion,Buy,-2.6,-28.3602,-7.7072,,-98.3,-0.4,-0.20,
